,Latitude_h,Longitude_h,distance_km,amenity_Referral Hospital,amenity_Teaching Hospital,amenity_Type A Hospital,amenity_Type B Hospital,amenity_Type C Hospital,amenity_Type D Hospital,amenity_clinic,amenity_dentist,amenity_doctors,amenity_hospital,amenity_pharmacy
24,15.5695767,32.5774348,5.215808665495431,False,False,False,False,False,False,False,False,False,False,True
25,15.565561,32.578515,5.175644636943515,False,False,False,False,False,False,False,False,False,False,True
26,15.5635911,32.5783619,5.09990270917398,False,False,False,False,False,False,False,False,False,False,True
27,15.5384998,32.582725,5.595534355988754,False,False,False,False,False,False,False,False,False,False,True
28,15.5696033,32.5356057,1.9997951243689385,False,False,False,False,False,False,False,True,False,False,False
29,15.5878124,32.560688,5.00858347222075,False,False,False,False,False,False,False,False,False,False,True
30,15.6126871,32.444561,5.00194758687083,False,False,False,False,False,False,False,False,False,False,True
31,15.6138124,32.4411888,5.182553599514701,False,False,False,False,False,False,False,False,False,False,True
32,15.6134377,32.4581871,4.023965088950617,False,False,False,False,False,False,False,False,False,False,True
33,15.6083126,32.454937,4.689617182917622,False,False,False,False,False,False,False,False,False,False,True
34,15.6086874,32.4595642,4.414297705508915,False,False,False,False,False,False,False,False,False,False,True
35,15.5870628,32.456562,6.747826216229614,False,False,False,False,False,False,False,False,False,False,True
36,15.5826874,32.4523125,7.361769281968561,False,False,False,False,False,False,False,False,False,False,True
37,15.6035021,32.5349506,5.72760167659174,False,False,False,False,False,False,False,False,False,True,False
38,15.5365629,32.5256882,1.833344933408785,False,False,False,False,False,False,False,False,False,False,True
39,15.7515477,32.5747989,15.76859705039742,False,False,False,False,False,False,True,False,False,False,False
40,15.7510624,32.5766869,15.86295873973052,False,False,False,False,False,False,False,False,False,False,True
41,15.7505627,32.5790634,15.993866438317507,False,False,False,False,False,False,False,False,False,False,True
42,15.7585621,32.5881882,17.308148495132844,False,False,False,False,False,False,False,False,False,False,True
43,15.7646875,32.5823135,17.3959291056798,False,False,False,False,False,False,False,False,False,False,True
44,15.7764378,32.586937,18.714873631754596,False,False,False,False,False,False,False,False,False,False,True
45,15.6332069,32.6238649,13.31806345560529,False,False,False,False,False,False,False,False,False,False,True
46,15.6344297,32.6244305,13.454368980721595,False,False,False,False,False,False,False,False,False,False,True
47,15.6297188,32.6305632,13.608009042127904,False,False,False,False,False,False,False,False,False,False,True
48,15.6406018,32.6329146,14.58636434067072,False,False,False,False,False,False,False,False,False,False,True
49,15.6379525,32.6319196,14.31079419238444,False,False,False,False,False,False,False,False,False,False,True
50,15.6418846,32.6390093,15.168733516768002,False,False,False,False,False,False,False,False,False,False,True
51,15.6468599,32.6328409,15.055795370005256,False,False,False,False,False,False,False,False,False,False,True
52,15.7013502,32.6356431,18.06338188869457,False,False,False,False,False,False,False,False,False,False,True
53,15.6924137,32.4899857,5.463062816066284,False,False,False,False,False,False,True,False,False,False,False
54,15.6447007,32.4860052,0.8907731696774532,False,False,False,False,False,False,False,False,False,False,True
55,15.7203121,32.5790634,13.727819828480133,False,False,False,False,False,False,False,False,False,False,True
56,15.6896877,32.5481873,9.061444243141304,False,False,False,False,False,False,True,False,False,False,False
57,14.3886943,33.5354004,2.170027229537055,False,False,False,False,False,False,False,False,False,False,True
58,15.5141878,32.6928139,17.705235970113307,False,False,False,False,False,False,False,False,False,False,True
59,15.5171871,32.6895638,17.289877409418644,False,False,False,False,False,False,False,False,False,False,True
60,15.5273123,32.5245628,2.837097167752997,False,False,False,False,False,False,False,False,False,False,True
61,15.5074053,32.5793999,7.039600895762637,False,False,False,False,False,False,False,False,False,False,True
62,15.0140674,33.0925522,16.95590322748245,False,False,False,False,False,False,False,False,False,False,True
63,15.6834392,32.4411412,5.824829899046278,False,False,False,False,False,False,False,False,False,False,True
64,15.6591873,32.4863129,1.8692586616420752,False,False,False,False,False,False,False,False,False,False,True
65,15.6478128,32.4465637,3.3585222911834323,False,False,False,False,False,False,False,False,False,False,True
66,15.621563,32.4609375,3.11007524950977,False,False,False,False,False,False,False,False,False,False,True
67,15.7003437,32.5069676,6.930378782456318,False,False,False,False,False,False,False,False,True,False,False
68,15.6821884,32.4992486,4.767569335931368,False,False,False,False,False,False,False,False,False,False,True
69,15.6913128,32.5489388,9.22844467248582,False,False,False,False,False,False,False,False,False,False,True
70,15.7059596,32.5086777,7.568373734514396,False,False,False,False,False,False,False,False,False,False,True
71,15.7349285,32.4596196,10.192392139459022,False,False,False,False,False,False,False,False,False,False,True
72,15.6301165,32.4884043,1.962292266223436,False,False,False,False,False,False,False,False,False,False,True
73,14.4275804,33.5000462,3.619844097245807,False,False,False,False,False,False,False,False,False,False,True
74,15.6431792,32.4844281,0.7360560608509878,False,False,False,False,False,False,False,False,False,False,True
75,15.0976819,33.2238604,11.394631610861056,False,False,False,False,False,False,False,False,False,True,False
76,15.0135224,33.0974814,16.797849159762936,False,False,False,False,False,False,True,False,False,False,False
77,15.0136824,33.0974817,16.806420543765988,False,False,False,False,False,False,False,False,False,False,True
78,15.5096874,32.6873131,17.260121594370954,False,False,False,False,False,False,False,False,False,False,True
79,15.608869,32.634124,12.606160128709522,False,False,False,False,False,False,False,False,False,False,True
80,15.6019011,32.6338509,12.21218368735986,False,False,False,False,False,False,False,False,False,False,True
81,15.5976743,32.6279088,11.432787647932674,False,False,False,False,False,False,True,False,False,False,False
82,15.592603,32.6364483,12.038855448019692,False,False,False,False,False,False,False,False,False,False,True
83,15.6163966,32.6411024,13.675407147759882,False,False,False,False,False,False,False,False,False,False,True
84,15.6110993,32.6204033,11.495480064506388,False,False,False,False,False,False,False,False,False,False,True
85,15.4869472,32.5659751,8.029539393452911,False,False,False,False,False,False,False,False,False,False,True
86,15.4923143,32.5622076,7.318031814563084,False,False,False,False,False,False,False,False,False,False,True
87,15.4881355,32.4993995,7.884364600200886,False,False,False,False,False,False,False,False,False,False,True
88,15.449688,32.4884377,12.24413171284296,False,False,False,False,False,False,False,False,False,False,True
89,15.4934378,32.4916878,7.796375604428947,False,False,False,False,False,False,False,False,False,False,True
90,15.6075029,32.4707046,4.162065014390811,False,False,False,False,False,False,False,False,False,False,True
91,15.5670664,32.5739,4.76128350650527,False,False,False,False,False,False,False,False,False,False,True
92,15.013706,33.0973942,16.815913416037773,False,False,False,False,False,False,False,False,False,False,True
93,15.2746866,32.9625404,22.858253538907093,False,False,False,False,False,False,False,False,False,False,True
94,15.6423642,32.4928205,1.6383877874673909,False,False,False,False,False,False,True,False,False,False,False
95,15.2770427,32.9635887,22.9104398365062,False,False,False,False,False,False,True,False,False,False,False
96,15.646511,32.5017079,2.5837530243766795,False,False,False,False,False,False,False,False,False,False,True
97,15.5621123,32.5439501,1.6843671241346356,False,False,False,False,False,False,False,False,False,True,False
98,11.4626846,26.1301479,0.482289131912044,False,False,False,False,False,False,True,False,False,False,False
99,11.4617787,26.131453,0.6169667993477098,False,False,False,False,False,False,False,False,False,False,True
100,15.5849886,32.5233092,3.799706899517797,False,False,False,False,False,False,False,False,False,False,True
101,15.635974,32.4897019,1.5956729975413932,False,False,False,False,False,False,False,False,False,True,False
102,15.6115715,32.5591645,7.210071583679731,False,False,False,False,False,False,False,False,False,True,False
103,15.5996416,32.5347739,5.300002098084906,False,False,False,False,False,False,False,False,False,True,False
104,15.5981035,32.5294337,5.133553264908594,False,False,False,False,False,False,False,False,False,True,False
105,15.5975651,32.5295667,5.073218231732524,False,False,False,False,False,False,False,False,False,True,False
106,15.6123042,32.5453181,6.836919563524154,False,False,False,False,False,False,False,False,False,True,False
107,15.6471631,32.4892178,1.2696212397514683,False,False,False,False,False,False,False,False,False,True,False
108,15.7801458,32.5820848,18.721235118187543,False,False,False,False,False,False,False,False,False,True,False
109,15.6411877,32.4866867,1.0309304401100376,False,False,False,False,False,False,False,False,False,True,False
110,15.5672084,32.5513001,2.6489846282488974,False,False,False,False,False,False,False,False,False,True,False
111,15.6371718,32.4823752,0.9533390481708124,False,False,False,False,False,False,False,False,False,True,False
112,15.5995512,32.5709038,6.706322151429119,False,False,False,False,False,False,False,False,False,True,False
113,15.641767,32.4939567,1.769120803369565,False,False,False,False,False,False,False,False,False,True,False
114,15.5986224,32.5294018,5.191073589420861,False,False,False,False,False,False,False,False,False,True,False
115,15.6124025,32.559641,7.314775782095351,False,False,False,False,False,False,False,False,False,True,False
116,15.5564375,32.5863113,5.805708737157274,False,False,False,False,False,False,False,False,False,False,True
117,15.553812,32.5901871,6.202773026833609,False,False,False,False,False,False,False,False,False,False,True
118,15.5536871,32.5806885,5.184077773837459,False,False,False,False,False,False,False,False,False,False,True
119,15.5510626,32.5808144,5.194049563677759,False,False,False,False,False,False,False,False,False,False,True
120,15.5523129,32.5803108,5.1396853266355045,False,False,False,False,False,False,False,False,False,False,True
121,15.6917653,32.4768026,5.231041151157308,False,False,False,False,False,False,False,True,False,False,False
122,14.3970698,33.5200904,0.457438705401971,False,False,False,False,False,False,False,False,False,False,True
123,15.6065626,32.5635643,6.920465598352848,False,False,False,False,False,False,False,False,False,False,True
124,15.5731571,32.5351839,2.382044923284181,False,False,False,False,False,False,False,True,False,False,False
125,15.5654581,32.5362994,1.5681389879173666,False,False,False,False,False,False,False,False,False,False,True
126,15.5778498,32.5421015,3.06460494044688,False,False,False,False,False,False,False,False,False,False,True
127,15.5883121,32.5764389,6.215787564787893,False,False,False,False,False,False,False,False,False,False,True
128,15.5040073,32.5712155,6.731145134658114,False,False,False,False,False,False,False,False,False,False,True
129,15.6514378,32.4891891,1.4514971161505266,False,False,False,False,False,False,False,False,False,False,True
130,15.6563129,32.4855614,1.555352517553199,False,False,False,False,False,False,False,False,False,False,True
131,15.651063,32.484314,1.0150399646891906,False,False,False,False,False,False,False,False,False,False,True
132,15.6413126,32.4799385,0.426622765830049,False,False,False,False,False,False,False,False,False,False,True
133,15.6368122,32.4818115,0.9581379747301888,False,False,False,False,False,False,False,False,False,False,True
134,15.635438,32.4814377,1.07987804659456,False,False,False,False,False,False,False,False,False,False,True
135,15.6321878,32.4805641,1.396590012592165,False,False,False,False,False,False,False,False,False,False,True
136,15.6451874,32.4633141,1.5443507785545436,False,False,False,False,False,False,False,False,False,False,True
137,15.6635628,32.4196892,6.567685810194382,False,False,False,False,False,False,False,False,False,False,True
138,15.6754379,32.4379387,5.46741971828854,False,False,False,False,False,False,False,False,False,False,True
139,15.6635628,32.4401894,4.541377349168127,False,False,False,False,False,False,False,False,False,False,True
140,15.7039375,32.4676857,6.664125284977837,False,False,False,False,False,False,False,False,False,False,True
141,15.6496878,32.4606857,1.9124665514744468,False,False,False,False,False,False,False,False,False,False,True
142,15.6489372,32.4609375,1.863143589439462,False,False,False,False,False,False,False,False,False,False,True
143,15.5755884,32.576835,5.44482680003357,False,False,False,False,False,False,False,False,False,False,True
144,15.5736659,32.5771276,5.373250877823579,False,False,False,False,False,False,False,False,False,False,True
145,15.5784378,32.5764389,5.567939886348597,False,False,False,False,False,False,False,False,False,False,True
146,15.6593122,32.4570618,2.7537014208144988,False,False,False,False,False,False,False,False,False,False,True
147,15.6606874,32.4559364,2.9416643998817187,False,False,False,False,False,False,False,False,False,False,True
148,15.661437,32.4498138,3.528722039731848,False,False,False,False,False,False,False,False,False,False,True
149,15.7069378,32.4563141,7.279543933242714,False,False,False,False,False,False,False,False,False,False,True
150,15.6893129,32.461937,5.238842979538966,False,False,False,False,False,False,False,False,False,False,True
151,15.5905628,32.4506874,6.634219056996954,False,False,False,False,False,False,False,False,False,False,True
152,15.5880623,32.4573135,6.616694216247539,False,False,False,False,False,False,False,False,False,False,True
153,15.6480627,32.4364357,4.441914455464599,False,False,False,False,False,False,False,False,False,False,True
154,15.6246872,32.4500618,3.6863537966592217,False,False,False,False,False,False,False,False,False,False,True
155,15.6299372,32.444561,3.901666016538397,False,False,False,False,False,False,False,False,False,False,True
156,15.6248121,32.4439392,4.225041062272087,False,False,False,False,False,False,False,False,False,False,True
157,15.6245623,32.4366875,4.920016671033708,False,False,False,False,False,False,False,False,False,False,True
158,15.6174374,32.4358139,5.398172460637539,False,False,False,False,False,False,False,False,False,False,True
159,15.6148129,32.4354362,5.597290663979236,False,False,False,False,False,False,False,False,False,False,True
160,15.6290627,32.4620628,2.3936053490978497,False,False,False,False,False,False,False,False,False,False,True
161,15.6325626,32.4610634,2.219684790333326,False,False,False,False,False,False,False,False,False,False,True
162,15.6320629,32.4615631,2.2108500031027924,False,False,False,False,False,False,False,False,False,False,True
163,15.6400623,32.4614372,1.8115656433625271,False,False,False,False,False,False,False,False,False,False,True
164,15.5965624,32.4343109,7.055951570182295,False,False,False,False,False,False,False,False,False,False,True
165,15.5856876,32.4560623,6.909158887320184,False,False,False,False,False,False,False,False,False,False,True
166,15.5221872,32.6911888,17.34674720166214,False,False,False,False,False,False,False,False,False,False,True
167,15.5215626,32.689064,17.136347425907424,False,False,False,False,False,False,False,False,False,False,True
168,15.5694209,32.5379686,2.0392677325664037,False,False,False,False,False,False,False,False,False,False,True
169,15.4924374,32.6315613,12.503042751405586,False,False,False,False,False,False,False,False,False,False,True
170,15.5020628,32.5941887,8.615767360888198,False,False,False,False,False,False,False,False,False,False,True
171,15.5040627,32.5718117,6.7661140025233895,False,False,False,False,False,False,False,False,False,False,True
172,15.4931879,32.5654373,7.390974317798555,False,False,False,False,False,False,False,False,False,False,True
173,15.4899378,32.5510635,7.132131417154964,False,False,False,False,False,False,False,False,False,True,False
174,15.4911871,32.5534363,7.076585310189941,False,False,False,False,False,False,False,False,False,False,True
175,15.5754193,32.5343717,2.6221191129642607,False,False,False,False,False,False,False,False,False,False,True
176,15.4816875,32.4928131,8.844689380000828,False,False,False,False,False,False,False,False,False,False,True
177,15.4810629,32.4888115,9.11794557214405,False,False,False,False,False,False,False,False,False,False,True
178,15.5306873,32.677063,15.69361226363182,False,False,False,False,False,False,False,False,False,False,True
179,15.4620628,32.4851875,11.147194445700842,False,False,False,False,False,False,False,False,False,False,True
180,15.4570627,32.4869385,11.56228357933276,False,False,False,False,False,False,False,False,False,False,True
181,15.4659376,32.4849358,10.779734506528529,False,False,False,False,False,False,False,False,False,False,True
182,15.4161873,32.4953117,15.524782804174924,False,False,False,False,False,False,False,False,False,False,True
183,15.4775629,32.4751892,10.254558833862095,False,False,False,False,False,False,False,False,False,False,True
184,15.6521761,32.6129241,14.069206986954311,False,False,False,False,False,False,False,False,False,False,True
185,13.2867502,34.8529902,27.804422634209143,False,False,False,False,False,False,True,False,False,False,False
186,15.4924374,32.4846878,8.327664707874707,False,False,False,False,False,False,False,False,False,False,True
187,15.493063,32.4889374,7.999102092405011,False,False,False,False,False,False,False,False,False,False,True
188,15.5186872,32.4875641,6.046542387221126,False,False,False,False,False,False,False,False,False,False,True
189,15.560813,32.5003128,3.58349068056928,False,False,False,False,False,False,False,False,False,False,True
190,15.6413356,32.5264074,5.2342501800204655,False,False,False,False,False,False,False,False,False,False,True
191,15.4589376,32.5039368,10.719780457110144,False,False,False,False,False,False,False,False,False,False,True
192,15.6445416,32.4889191,1.202938377943619,False,False,False,False,False,False,False,False,False,False,True
193,15.6509245,32.5313777,5.799057905658251,False,False,False,False,False,False,False,False,False,False,True
194,15.5408125,32.5405617,1.4982472678074217,False,False,False,False,False,False,False,False,False,False,True
195,15.5376873,32.5406876,1.7969616025056052,False,False,False,False,False,False,False,False,False,False,True
196,15.5354376,32.5413132,2.0475302042180883,False,False,False,False,False,False,False,False,False,False,True
197,15.5323124,32.5116882,3.096225943194371,False,False,False,False,False,False,False,False,False,False,True
198,15.5503583,32.5651645,3.5182698005659625,False,False,False,False,False,False,False,False,False,False,True
199,15.5341873,32.527813,2.0100760963972517,False,False,False,False,False,False,False,False,False,False,True
200,15.5419378,32.5403137,1.3826012069427838,False,False,False,False,False,False,False,False,False,False,True
201,15.5331879,32.5418129,2.2937266057423917,False,False,False,False,False,False,False,False,False,False,True
202,15.5466871,32.524189,1.0468531037708853,False,False,False,False,False,False,False,False,False,False,True
203,15.6101241,32.6199357,11.392880810476,False,False,False,False,False,False,False,False,False,False,True
204,15.5099373,32.4994392,5.827659526550903,False,False,False,False,False,False,False,False,False,False,True
205,15.5235624,32.5040627,4.359402425655852,False,False,False,False,False,False,False,False,False,False,True
206,15.5341873,32.5261879,2.059699712473127,False,False,False,False,False,False,False,False,False,False,True
207,15.5323124,32.5264359,2.2492938246606813,False,False,False,False,False,False,False,False,False,False,True
208,15.5274372,32.5273132,2.7505166235476324,False,False,False,False,False,False,False,False,False,False,True
209,15.5221872,32.5150642,3.7677421930066894,False,False,False,False,False,False,False,False,False,False,True
210,15.5210629,32.520813,3.62120941792593,False,False,False,False,False,False,False,False,False,False,True
211,15.5254374,32.5131874,3.571779058443652,False,False,False,False,False,False,False,False,False,False,True
212,15.5191879,32.4980621,5.156754001833754,False,False,False,False,False,False,False,False,False,False,True
213,15.5205622,32.5366859,3.48703208421075,False,False,False,False,False,False,False,False,False,False,True
214,15.5386877,32.5255623,1.6257983920136014,False,False,False,False,False,False,False,False,False,False,True
215,15.5271873,32.5238113,2.8751222961926506,False,False,False,False,False,False,False,False,False,False,True
216,15.5285625,32.5354385,2.591900704979997,False,False,False,False,False,False,False,False,False,False,True
217,15.5384378,32.5825615,5.580429248003762,False,False,False,False,False,False,False,False,False,False,True
218,15.5233126,32.5020638,4.530742943815797,False,False,False,False,False,False,True,False,False,False,False
219,15.7325621,32.578186,14.525546419020529,False,False,False,False,False,False,False,False,False,False,True
220,15.6979318,32.505882,6.639746447041292,False,False,False,False,False,False,False,True,False,False,False
221,15.6474371,32.531311,5.757395997404545,False,False,False,False,False,False,False,False,False,False,True
222,15.6281872,32.5356865,6.474375624064594,False,False,False,False,False,False,False,False,False,False,True
223,15.638759,32.5310923,5.760025897266204,False,False,False,False,False,False,False,False,True,False,False
224,15.7015629,32.5583115,10.70310052276665,False,False,False,False,False,False,False,False,False,False,True
225,15.6291876,32.5249367,5.340881349466888,False,False,False,False,False,False,False,False,False,False,True
226,14.1405279,34.3333338,86.40225216114685,False,False,False,False,False,False,True,False,False,False,False
227,15.6416874,32.5390625,6.586786413679096,False,False,False,False,False,False,False,False,False,False,True
228,15.6453123,32.5418129,6.874860838272804,False,False,False,False,False,False,False,False,False,False,True
229,15.7036877,32.555687,10.620555317622404,False,False,False,False,False,False,False,False,False,False,True
230,15.6356878,32.5730629,10.255949347491876,False,False,False,False,False,False,False,False,False,False,True
231,15.5280628,32.5304375,2.635040243773953,False,False,False,False,False,False,False,False,False,False,True
232,15.5373125,32.5828133,5.640611891074252,False,False,False,False,False,False,False,False,False,False,True
233,15.5253124,32.5144386,3.5075951502376523,False,False,False,False,False,False,False,False,False,False,True
234,15.6126737,32.6079175,10.534498793620749,False,False,False,False,False,False,False,False,False,False,True
235,15.6041203,32.6061655,9.803806907772492,False,False,False,False,False,False,False,False,False,False,True
236,15.6561295,32.443134,3.923177142080754,False,False,False,False,False,False,False,False,False,False,True
237,14.738862,33.3035406,1.6177031139856235,False,False,False,False,False,False,False,False,False,False,True
238,14.7315018,33.3042418,2.417700676654124,False,False,False,False,False,False,False,False,False,False,True
239,14.7469753,33.3011619,0.689754181235377,False,False,False,False,False,False,False,False,False,False,True
240,14.7475204,33.299734,0.5801030016400983,False,False,False,False,False,False,False,False,False,False,True
241,14.7382846,33.3027464,1.651639217247122,False,False,False,False,False,False,False,False,False,False,True
242,14.7360227,33.3019716,1.8740996441356643,False,False,False,False,False,False,False,False,False,False,True
243,14.7384342,33.2992412,1.5700075997682057,False,False,False,False,False,False,False,False,False,False,True
244,14.7364593,33.2990965,1.7874817356009327,False,False,False,False,False,False,False,False,False,False,True
245,15.5967196,32.6323078,11.81259017174686,False,False,False,False,False,False,False,False,False,False,True
246,15.5980614,32.6217425,10.864256644568512,False,False,False,False,False,False,False,False,False,False,True
247,15.5987057,32.6161125,10.371030063145698,False,False,False,False,False,False,False,False,False,False,True
248,15.5961738,32.6366917,12.216357971127533,False,False,False,False,False,False,False,False,False,False,True
249,15.6608124,32.5684357,9.894480994141574,False,False,False,False,False,False,False,False,False,False,True
250,15.6358042,32.5698419,9.926556462591948,False,False,False,False,False,False,False,False,False,False,True
251,15.5989452,32.6135573,10.148278433070686,False,False,False,False,False,False,False,False,False,False,True
252,15.5971215,32.6288218,11.493805294239843,False,False,False,False,False,False,False,False,False,False,True
253,15.6258466,32.5600706,8.714475468458451,False,False,False,False,False,False,False,False,False,False,True
254,15.7313135,32.4850695,9.638820979685532,False,False,False,False,False,False,False,False,False,False,True
255,15.7078599,32.5094985,7.795943485093392,False,False,False,False,False,False,False,False,False,False,True
256,15.7201852,32.5134226,9.208994457812672,False,False,False,False,False,False,False,False,False,False,True
257,15.7087399,32.5097569,7.895647245153111,False,False,False,False,False,False,False,False,False,False,True
258,15.6793861,32.4982015,4.442232088108783,False,False,False,False,False,False,False,False,False,False,True
259,15.4907346,32.6377174,13.16536303378574,False,False,False,False,False,False,False,False,False,False,True
260,15.5258871,32.5186155,3.22622016170596,False,False,False,False,False,False,False,False,False,False,True
261,15.6156292,32.6281436,12.46331110333473,False,False,False,False,False,False,False,False,False,False,True
262,15.595608,32.6367631,12.198369655984031,False,False,False,False,False,False,False,False,False,False,True
263,15.592717,32.5721653,6.220242251161204,False,False,False,False,False,False,False,False,False,False,True
264,15.6041157,32.616183,10.68946456793052,False,False,False,False,False,False,False,False,False,False,True
265,15.6792913,32.499208,4.487601293403637,False,False,False,False,False,False,False,False,False,False,True
266,15.5911021,32.6152689,9.895373926714427,False,False,False,False,False,False,False,False,False,False,True
267,15.6084156,32.6334418,12.517712941666709,False,False,False,False,False,False,False,False,False,False,True
268,15.613274,32.627792,12.286120375066496,False,False,False,False,False,False,False,False,False,False,True
269,15.6110222,32.6146817,10.99210237945869,False,False,False,False,False,False,False,False,False,False,True
270,15.611568,32.612011,10.80035200102014,False,False,False,False,False,False,False,False,False,False,True
271,15.6056114,32.6383469,12.828988298773153,False,False,False,False,False,False,False,False,False,False,True
272,15.6118581,32.6277923,12.200128672802911,False,False,False,False,False,False,False,False,False,False,True
273,15.6123177,32.6275105,12.202618814416503,False,False,False,False,False,False,False,False,False,False,True
274,15.603976,32.6209868,11.118072583160782,False,False,False,False,False,False,False,False,False,False,True
275,15.6033235,32.6251482,11.465786831332425,False,False,False,False,False,False,False,False,False,False,True
276,15.6013697,32.6372843,12.515551450281444,False,False,False,False,False,False,False,False,False,False,True
277,15.6029809,32.6273265,11.65060266703036,False,False,False,False,False,False,False,False,False,False,True
278,15.5988814,32.6175424,10.513706650709432,False,False,False,False,False,False,False,False,False,False,True
279,15.5971133,32.6291547,11.525549288160931,False,False,False,False,False,False,False,False,False,False,True
280,15.6098477,32.6270421,12.012362314135608,False,False,False,False,False,False,False,False,False,False,True
281,15.6068125,32.5683136,7.203714988702174,False,False,False,False,False,False,False,False,False,False,True
282,15.5847363,32.5384827,3.70248172785228,False,False,False,False,False,False,False,False,False,False,True
283,15.584555,32.5350837,3.635894529664376,False,False,False,False,False,False,False,False,False,False,True
284,15.6811978,32.4985868,4.637312671262935,False,False,False,False,False,False,False,False,False,False,True
285,15.6068963,32.5682389,7.207275867955378,False,False,False,False,False,False,False,False,False,False,True
286,15.6735092,32.486104,3.334077521101269,False,False,False,False,False,False,False,False,False,False,True
287,15.7004651,32.4856521,6.251242443287479,False,False,False,False,False,False,False,False,False,False,True
288,15.719672,32.4858789,8.36427381737657,False,False,False,False,False,False,False,False,False,False,True
289,15.7204823,32.485838,8.452995643125925,False,False,False,False,False,False,False,False,False,False,True
290,15.7042298,32.4859203,6.667915996191909,False,False,False,False,False,False,False,False,False,False,True
291,15.6831228,32.485534,4.355562895465724,False,False,False,False,False,False,False,False,False,False,True
292,15.6990191,32.4851532,6.085515351509602,False,False,False,False,False,False,False,False,False,False,True
293,15.6903429,32.4853356,5.138386427087345,False,False,False,False,False,False,False,False,False,False,True
294,18.0451058,30.9554371,0.790455031392583,False,False,False,False,False,False,True,False,False,False,False
295,15.7308329,32.4597376,9.745336649377156,False,False,False,False,False,False,False,False,False,False,True
296,15.7283544,32.4598127,9.475007642209006,False,False,False,False,False,False,False,False,False,False,True
297,15.7170921,32.521378,9.297810668041572,False,False,False,False,False,False,False,False,False,False,True
298,15.7181023,32.4764772,8.145549833648216,False,False,False,False,False,False,False,False,False,False,True
299,15.6277862,32.4739258,1.8932241287480804,False,False,False,False,False,False,False,False,False,True,False
300,15.6994909,32.5061198,6.805197952589935,False,False,False,False,False,False,False,False,False,False,True
301,15.7000848,32.5063719,6.876062143966045,False,False,False,False,False,False,False,False,False,False,True
302,15.6990623,32.5059642,6.755325711138065,False,False,False,False,False,False,False,False,False,False,True
303,15.5266521,32.5209947,3.0398197055838305,False,False,False,False,False,False,False,False,False,False,True
304,15.7091505,32.4765802,7.154933838708315,False,False,False,False,False,False,False,False,False,False,True
305,15.4636297,32.5021776,10.28112075571397,False,False,False,False,False,False,False,False,False,False,True
306,15.6234578,32.5307316,6.144669286531297,False,False,False,False,False,False,False,False,False,False,True
307,19.1704144,30.4660215,1.6859143015333753,False,False,False,False,False,False,True,False,False,False,False
308,15.4570437,36.3981604,0.6972873946284325,False,False,False,False,False,False,False,False,False,False,True
309,15.4570437,36.3982221,0.6954415717321585,False,False,False,False,False,False,False,False,False,False,True
310,15.4506503,36.3982206,0.1948494221535827,False,False,False,False,False,False,True,False,False,False,False
311,15.5286633,32.5339615,2.56564315734035,False,False,False,False,False,False,False,False,False,False,True
